,symbol,MIS_margin_X_times,CNC_margin_X_times
1049,OILCOUNTUB,0,1
1050,OISL,0,1
1051,OLECTRA,1,2
1052,OMAXAUTO,7,2
1053,OMAXE,10,3
1054,OMMETALS,1,1
1055,ONELIFECAP,0,1
1056,ONGC,5,1
1057,ONMOBILE,7,2
1058,ONWARDTEC,7,2
1059,OPTIEMUS,0,1
1060,OPTOCIRCUI,0,1
1061,ORBTEXP,7,2
1062,ORCHPHARMA,0,1
1063,ORICONENT,1,1
1064,ORIENTABRA,1,1
1065,ORIENTALTL,1,1
1066,ORIENTBELL,1,1
1067,ORIENTCEM,10,2
1068,ORIENTELEC,10,3
1069,ORIENTHOT,1,1
1070,ORIENTLTD,7,2
1071,ORIENTPPR,1,1
1072,ORIENTREF,10,3
1073,ORISSAMINE,1,1
1074,ORTEL,0,1
1075,ORTINLABSS,7,2
1076,OSWALAGRO,1,1
1077,PAGEIND,10,3
1078,PAISALO,10,2
1079,PALASHSECU,0,1
1080,PALREDTEC,0,1
1081,PANACEABIO,10,3
1082,PANAMAPET,1,2
1083,PARABDRUGS,0,1
1084,PARACABLES,0,1
1085,PARAGMILK,10,2
1086,PARSVNATH,0,1
1087,PATELENG,1,1
1088,PATINTLOG,7,2
1089,PATSPINLTD,0,1
1090,PCJEWELLER,1,1
1091,PDMJEPAPER,1,1
1092,PDSMFL,7,1
1093,PEARLPOLY,1,1
1094,PEL,10,2
1095,PENIND,1,1
1096,PENINLAND,0,1
1097,PERSISTENT,10,3
1098,PETRONET,10,3
1099,PFC,10,3
1100,PFIZER,10,3
1101,PFOCUS,7,2
1102,PFS,1,1
1103,PGEL,1,1
1104,PGHH,10,3
1105,PGHL,10,3
1106,PGIL,7,1
1107,PHILIPCARB,10,3
1108,PHOENIXLTD,10,3
1109,PIDILITIND,10,3
1110,PIIND,10,3
1111,PILANIINVS,10,3
1112,PILITA,0,1
1113,PIONDIST,7,1
1114,PIONEEREMB,7,2
1115,PITTIENG,7,2
1116,PLASTIBLEN,7,2
1117,PNB,10,2
1118,PNBGILTS,7,1
1119,PNBHOUSING,10,3
1120,PNC,1,1
1121,PNCINFRA,10,3
1122,PODDARHOUS,1,1
1123,PODDARMENT,7,1
1124,POKARNA,7,2
1125,POLYCAB,10,3
1126,POLYMED,10,3
1127,POLYPLEX,10,3
1128,PONNIERODE,7,1
1129,POWERGRID,10,3
1130,POWERINDIA,5,2
1131,POWERMECH,10,3
1132,PPAP,7,2
1133,PPL,7,2
1134,PRABHAT,7,1
1135,PRADIP,0,1
1136,PRAENG,0,1
1137,PRAJIND,10,3
1138,PRAKASH,10,2
1139,PRAKASHSTL,0,1
1140,PRAXIS,7,2
1141,PRECAM,7,2
1142,PRECWIRE,7,2
1143,PREMEXPLN,7,2
1144,PREMIER,0,1
1145,PREMIERPOL,1,2
1146,PRESSMN,1,1
1147,PRESTIGE,10,2
1148,PRICOLLTD,10,3
1149,PRIMESECU,7,2
1150,PRINCEPIPE,10,3
1151,PRIVISCL,10,3
1152,PROSEED,0,1
1153,PROZONINTU,1,1
1154,PRSMJOHNSN,10,2
1155,PSB,1,1
1156,PSPPROJECT,10,3
1157,PTC,10,3
1158,PTL,7,1
1159,PUNJABCHEM,7,1
1160,PUNJLLOYD,0,1
1161,PURVA,1,2
1162,PVR,10,2
1163,QUESS,10,3
1164,QUICKHEAL,10,2
1165,RADAAN,0,1
1166,RADICO,10,3
1167,RADIOCITY,0,1
1168,RAIN,10,2
1169,RAJESHEXPO,10,3
1170,RAJRATAN,7,1
1171,RAJRAYON,0,1
1172,RAJSREESUG,1,1
1173,RAJTV,7,2
1174,RALLIS,10,3
1175,RAMANEWS,1,1
1176,RAMASTEEL,7,2
1177,RAMCOCEM,10,3
1178,RAMCOIND,10,3
1179,RAMCOSYS,10,2
1180,RAMKY,1,1
1181,RAMSARUP,0,1
1182,RANASUG,0,1
1183,RANEENGINE,7,2
1184,RANEHOLDIN,10,2
1185,RATNAMANI,10,3
1186,RAYMOND,10,3
1187,RBL,7,1
1188,RBLBANK,10,2
1189,RCF,10,3
1190,RCOM,0,1
1191,RECLTD,10,3
1192,REDINGTON,10,2
1193,REFEX,7,2
1194,RELAXO,10,3
1195,RELCAPITAL,0,1
1196,RELIANCE,10,3
1197,RELIANCEPP,1,1
1198,RELIGARE,5,2
1199,RELINFRA,10,2
1200,REMSONSIND,7,2
1201,RENUKA,1,1
1202,REPCOHOME,10,2
1203,REPRO,7,1
1204,RESPONIND,10,3
1205,REVATHI,7,2
1206,RGL,7,2
1207,RHFL,0,1
1208,RICOAUTO,10,2
1209,RIIL,10,3
1210,RITES,10,3
1211,RKDL,1,1
1212,RKFORGE,10,2
1213,RMCL,0,1
1214,RML,7,2
1215,RNAVAL,0,1
1216,ROHITFERRO,0,1
1217,ROHLTD,7,2
1218,ROLLT,0,1
1219,ROLTA,0,1
1220,ROML,1,1
1221,ROSSARI,7,1
1222,ROSSELLIND,7,2
1223,ROUTE,7,1
1224,RPGLIFE,7,2
1225,RPOWER,0,1
1226,RPPINFRA,7,2
1227,RSSOFTWARE,1,1
1228,RSWM,0,1
1229,RSYSTEMS,10,2
1230,RTNINFRA,0,1
1231,RTNPOWER,0,1
1232,RUBYMILLS,7,2
1233,RUCHI,0,1
1234,RUCHINFRA,0,1
1235,RUCHIRA,0,1
1236,RUPA,10,3
1237,RUSHIL,7,2
1238,RVNL,1,1
1239,S&SPOWER,0,1
1240,SABEVENTS,0,1
1241,SADBHAV,10,2
1242,SADBHIN,1,1
1243,SAFARI,10,3
1244,SAGCEM,10,3
1245,SAIL,5,1
1246,SAKHTISUG,1,1
1247,SAKSOFT,7,2
1248,SAKUMA,0,1
1249,SALASAR,7,2
1250,SALONA,1,1
1251,SALSTEEL,0,1
1252,SALZERELEC,7,2
1253,SAMBHAAV,0,1
1254,SANDESH,7,1
1255,SANDHAR,7,1
1256,SANGAMIND,1,1
1257,SANGHIIND,7,2
1258,SANGHVIFOR,0,1
1259,SANGHVIMOV,1,1
1260,SANOFI,10,3
1261,SANWARIA,0,1
1262,SARDAEN,7,2
1263,SAREGAMA,10,2
1264,SARLAPOLY,7,2
1265,SASKEN,10,3
1266,SASTASUNDR,1,1
1267,SATIA,10,3
1268,SATIN,10,2
1269,SATINPP,1,1
1270,SBICARD,10,3
1271,SBILIFE,10,2
1272,SBIN,10,2
1273,SCAPDVR,0,1
1274,SCHAEFFLER,10,3
1275,SCHAND,7,1
1276,SCHNEIDER,10,3
1277,SCI,10,2
1278,SDBL,1,1
1279,SEAMECLTD,7,1
1280,SELAN,7,1
1281,SELMCL,0,1
1282,SEPOWER,0,1
1283,SEQUENT,5,1
1284,SESHAPAPER,10,2
1285,SETCO,1,1
1286,SETFGOLD,0,1
1287,SETUINFRA,0,1
1288,SEYAIND,7,2
